id,source_url,date_collected,sentence,notes
1,https://hlauto.vn,7/2/2026 0:00,"Biến tần Mitsubishi E700 đột nhiên báo lỗi OC1, dây chuyền đóng gói đứng im rồi",
2,https://hlauto.vn,7/2/2026 0:00,"Tháng 3/2024, mình nhận được cuộc gọi từ anh Hải - chủ xưởng dệt vải ở Nam Định",
3,https://hlauto.vn,7/2/2026 0:00,"Biến tần Delta VFD-B 15kW điều khiển máy dệt chính đột nhiên ""chết im""",
4,https://hlauto.vn,7/2/2026 0:00,"Ban đầu anh Hải nhờ thợ điện địa phương xem, kết luận là tụ nguồn hỏng nhưng không sửa được vì thiếu linh kiện chính hãng",
5,https://hlauto.vn,7/2/2026 0:00,"Kỹ thuật viên có mặt trong 4 giờ, mang theo tụ Nippon Chemi-Con chính hãng, sửa xong trong ngày",
6,https://hlauto.vn,7/2/2026 0:00,"Năm 2018, mình sửa biến tần ABB ACS550 22kW cho nhà máy bia ở Hà Đông",
7,https://hlauto.vn,7/2/2026 0:00,Lỗi ban đầu là module IGBT chết do quá dòng (motor bơm bị kẹt),
8,https://hlauto.vn,7/2/2026 0:00,"Sau khi thay IGBT, mình còn kiểm tra toàn bộ hệ thống: cảm biến nhiệt, quạt tản nhiệt, điện áp nguồn, và đặc biệt là NGUYÊN NHÂN GỐC RỄ - vòng bi motor đã mòn.",
9,https://hlauto.vn,7/2/2026 0:00,"Biến tần báo OC không phải lỗi ở biến tần, mà có thể do motor, cơ khí, hoặc điện áp lưới không ổn định.",
10,https://hlauto.vn,7/2/2026 0:00,Anh Hùng - chủ xưởng cơ khí có máy tiện CNC điều khiển bằng biến tần Mitsubitshi E700 3.7kW,
11,https://hlauto.vn,7/2/2026 0:00,"Sáng thứ 2, bật máy lên thì biến tần báo lỗi OC3 ngay lập tức",
12,https://hlauto.vn,7/2/2026 0:00,"Kỹ thuật viên kiểm tra phát hiện vòng bi motor bị mòn, kẹt cứng.",
13,https://hlauto.vn,7/2/2026 0:00,"Khi biến tần cấp dòng khởi động, motor không quay được là OC3",
14,https://hlauto.vn,7/2/2026 0:00,Chị Lan - giám sát xưởng sản xuất gạch men báo biến tần Fuji 15kW điều khiển băng tải luôn báo lỗi OV mỗi khi ấn STOP,
15,https://hlauto.vn,7/2/2026 0:00,"Khi dừng đột ngột, băng tải vẫn còn đà quay, motor hoạt động như máy phát điện, ""bơm"" điện ngược về biến tần",
16,https://hlauto.vn,7/2/2026 0:00,Điện áp bus DC tăng vọt từ 540V lên 720V là OV,
17,https://hlauto.vn,7/2/2026 0:00,"Tháng 7/2024, anh Đức - chủ xưởng ép nhựa gọi điện",
18,https://hlauto.vn,7/2/2026 0:00,"Anh Long ơi, 3 biến tần Yaskawa A1000 cứ chạy 2-3 tiếng là báo OH hết",
